Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
1096,,1096,housing,should not,https://www.gov.uk/file-changes-to-a-company-with-companies-house,10
1093,,1093,ehic,should,https://www.gov.uk/apply-renew-european-health-insurance-card,3
1090,,1090,v5c,should,https://www.gov.uk/vehicle-registration-certificate-v5c-log-book,3
1078,,1078,paternity leave,should,https://www.gov.uk/additional-paternity-leave-pay-employees,5
1078,,1078,paternity leave,should,https://www.gov.uk/paternity,3
1078,,1078,paternity leave,should,https://www.gov.uk/paternity-leave-pay-employees,5
1078,,1078,paternity leave,should,https://www.gov.uk/paternityleave,3
1078,,1078,power of attorney,should,https://www.gov.uk/become-deputy,5
1078,,1078,power of attorney,should,https://www.gov.uk/find-someones-attorney-or-deputy,5
1078,,1078,power of attorney,should,https://www.gov.uk/power-of-attorney,3
1078,,1078,power of attorney,should,https://www.gov.uk/report-concern-about-attorney-deputy,10
1078,,1078,power of attorney,should not,https://www.gov.uk/apply-for-a-patent,10
1078,,1078,power of attorney,should not,https://www.gov.uk/mobility-scooters-and-powered-wheelchairs-the-rules,10
1078,,1078,power of attorney,should not,https://www.gov.uk/planning-permission-england-wales,10
1078,,1078,power of attorney,should not,https://www.gov.uk/police-powers-of-arrest-your-rights,10
1078,,1078,power of attorney,should not,https://www.gov.uk/police-powers-to-stop-and-search-your-rights,10
1074,,1074,provisional,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
652,416,1068,holiday,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
652,416,1068,holiday,should,https://www.gov.uk/holiday-entitlement-your-rights,3
1065,,1065,pn1,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
1065,,1065,pn1,should,https://www.gov.uk/student-finance-register-login,3
647,278,925,holidays,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
647,278,925,holidays,should,https://www.gov.uk/holiday-entitlement-your-rights,3
0,844,844,sole trader,should,https://www.gov.uk/set-up-sole-trader,3
0,712,712,business rates,should,https://www.gov.uk/business-rates-calculator,3
0,712,712,business rates,should,https://www.gov.uk/introduction-to-business-rates,3
0,712,712,business rates,should not,https://www.gov.uk/benefits-adviser,5
287,315,602,working time regulations,should,https://www.gov.uk/maximum-weekly-working-hours,3
0,522,522,holiday calculator,should,https://www.gov.uk/calculate-your-holiday-entitlement,
0,427,427,temporary event notice,should,https://www.gov.uk/temporary-events-notice,
0,295,295,commodity codes,should,https://www.gov.uk/finding-commodity-codes,3
0,295,295,commodity codes,should,https://www.gov.uk/trade-tariff,3
0,266,266,employment contract,should,https://www.gov.uk/employment-contracts-and-conditions,5
,,0,annual leave,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
,,0,annual leave,should,https://www.gov.uk/holiday-entitlement-your-rights,3
,,0,apply for provisional licence,should,https://www.gov.uk/apply-first-provisional-driving-licence,3
,,0,applying for a passport,should,https://www.gov.uk/apply-renew-passport,3
,,0,background music licence,should,https://www.gov.uk/licence-finder,3
,,0,bank holiday,should,https://www.gov.uk/bank-holidays,1
,,0,bank holidays,should,https://www.gov.uk/bank-holidays,1
,,0,basic state pension,should,https://www.gov.uk/state-pension,3
,,0,benefit,should not,https://www.gov.uk/incapacity-benefit,10
,,0,benefit calculator,should,https://www.gov.uk/benefits-adviser,3
,,0,benefit fraud,should,https://www.gov.uk/benefit-fraud,3
,,0,benefit fraud,should,https://www.gov.uk/report-benefit-fraud,3
,,0,benefit fraud,should not,https://www.gov.uk/incapacity-benefit,10
,,0,benefits calculator,should,https://www.gov.uk/benefits-adviser,3
,,0,bereavement,should,https://www.gov.uk/after-a-death,5
,,0,bereavement,should not,https://www.gov.uk/calculate-child-maintenance,10
,,0,bereavement,should not,https://www.gov.uk/maternity-allowance,10
,,0,bereavement,should not,https://www.gov.uk/voluntary-national-insurance-contributions,10
,,0,birth,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,5
